Common Name,Scientific Name,Image URL,Freshwater,Saltwater
Bluefin killifish,Lucania goodei,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Lucania_goodei.jpg/120px-Lucania_goodei.jpg,Yes,No
Blueback herring,Alosa aestivalis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Blueback_herring_fish_image.jpg/120px-Blueback_herring_fish_image.jpg,Yes,Yes
Bluefish,Pomatomus saltatrix,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pomatomus_saltatrix.png/120px-Pomatomus_saltatrix.png,Yes,Yes
Bluegill,Lepomis macrochirus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lepomis_macrochirus_UMFS_2014_2.JPG/120px-Lepomis_macrochirus_UMFS_2014_2.JPG,Yes,No
Bluehead wrasse,Thalassoma bifasciatum,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Blue-headed_wrasse_det.jpg/120px-Blue-headed_wrasse_det.jpg,No,Yes
Bluelip parrotfish,Cryptotomus roseus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Cryptotomus_roseus_-_pone.0010676.g127.png/120px-Cryptotomus_roseus_-_pone.0010676.g127.png,No,Yes
Bluespotted cornetfish,Fistularia commersonii,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Fistularia_commersonii1.jpg/120px-Fistularia_commersonii1.jpg,No,Yes
Bluespotted ribbontail ray,Taeniura lymma,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Taeniura_lymma2a.jpg/120px-Taeniura_lymma2a.jpg,No,Yes
Blue-spotted sunfish,Enneacanthus gloriosus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Enneacanthus_gloriosus.jpg/120px-Enneacanthus_gloriosus.jpg,Yes,No
Bluntnose sixgill shark,Hexanchus griseus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Hexanchus_griseus.jpg/120px-Hexanchus_griseus.jpg,No,Yes
Bluntnose stingray,Hypanus say,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Dasyatis_say_botany_bay.jpg/120px-Dasyatis_say_botany_bay.jpg,No,Yes
Boga,Haemulon vittatum,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Boga_%28Haemulon_vittatum%29_at_cleaning_station.jpg/120px-Boga_%28Haemulon_vittatum%29_at_cleaning_station.jpg,No,Yes
Bonefish,Albula vulpes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Bonefish.png/120px-Bonefish.png,No,Yes
Bonnethead,Sphyrna tiburo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Bonnethead_shark.jpg/120px-Bonnethead_shark.jpg,No,Yes
Bowfin,Amia calva,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Amia_calva1.jpg/120px-Amia_calva1.jpg,Yes,No
Bridled burrfish,Chilomycterus antennatus,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/FMIB_38160_Chilomycterus_antennatus_%28Cuvier%29.jpeg/120px-FMIB_38160_Chilomycterus_antennatus_%28Cuvier%29.jpeg,No,Yes
Broad-striped anchovy,Anchoa hepsetus,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/AnchoaHepsetus.jpg/120px-AnchoaHepsetus.jpg,No,Yes
Brook silverside,Labidesthes sicculus,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Labidesthes_sicculus.jpg/120px-Labidesthes_sicculus.jpg,Yes,No
Brown Bullhead,Ameiurus nebulosus,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Ameiurus_nebulosus.jpg/120px-Ameiurus_nebulosus.jpg,Yes,No
Brown chromis,Chromis multilineata,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Chromis_multilineata.jpg/120px-Chromis_multilineata.jpg,No,Yes
